nohup: can't execute './tests1.sh': Exec format error
NetBenchWithContention_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000054	0.149502
Send/Recv	2^1	0.000054	0.299016
Send/Recv	2^2	0.000054	0.596858
Send/Recv	2^3	0.000054	1.182266
Send/Recv	2^4	0.000079	1.621505
Send/Recv	2^5	0.000079	3.228845
Send/Recv	2^6	0.000079	6.464391
Send/Recv	2^7	0.000079	12.953218
Send/Recv	2^8	0.000106	19.384702
Send/Recv	2^9	0.000122	33.444235
Send/Recv	2^10	0.000182	44.943822
Send/Recv	2^11	0.000287	57.185929
Send/Recv	2^12	0.000393	83.426368
Send/Recv	2^13	0.001275	51.407919
Send/Recv	2^14	0.001758	74.563029
Send/Recv	2^15	0.004356	60.184244
Send/Recv	2^16	0.008810	59.513667
Send/Recv	2^17	0.018379	57.053914
Send/Recv	2^18	0.036824	56.950602
Send/Recv	2^19	0.073717	56.897362
Send/Recv	2^20	0.148217	56.596633
Send/Recv	2^21	0.297749	56.346825
Send/Recv	2^22	0.595001	56.393863
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.149667
Send/Recv	2^1	0.000053	0.299107
Send/Recv	2^2	0.000054	0.597641
Send/Recv	2^3	0.000054	1.188442
Send/Recv	2^4	0.000079	1.623508
Send/Recv	2^5	0.000079	3.226913
Send/Recv	2^6	0.000079	6.462718
Send/Recv	2^7	0.000079	12.952164
Send/Recv	2^8	0.000111	18.382002
Send/Recv	2^9	0.000123	33.333070
Send/Recv	2^10	0.000169	48.615917
Send/Recv	2^11	0.000288	56.907652
Send/Recv	2^12	0.000519	63.182756
Send/Recv	2^13	0.001274	51.426559
Send/Recv	2^14	0.002434	53.856990
Send/Recv	2^15	0.004577	57.271438
Send/Recv	2^16	0.009345	56.102846
Send/Recv	2^17	0.018294	57.317595
Send/Recv	2^18	0.036807	56.977254
Send/Recv	2^19	0.074008	56.673975
Send/Recv	2^20	0.148322	56.556670
Send/Recv	2^21	0.297258	56.439921
Send/Recv	2^22	0.595218	56.373314
Warning: Permanently added '[hpcvirtualizationnode02]:2222,[10.0.1.38]:2222' (ECDSA) to the list of known hosts.
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000054	0.148217
Send/Recv	2^1	0.000054	0.294236
Send/Recv	2^2	0.000054	0.591858
Send/Recv	2^3	0.000055	1.173060
Send/Recv	2^4	0.000059	2.182781
Send/Recv	2^5	0.000080	3.200617
